Title,lat,lng,Tags (Keywords),Features,Category,id
Noodlebox,49.28199,-123.10766,",good food,good quality food,special box,free box,good choice,more item,pleasant staff,great work,good food,food good price,great food,happy great food,clean food,quick friendly service,ingredient good quality,great experience staff,house friendly service,quick bite restaurant,good flavour,more time,","Takeout,Seating,ServesAlcohol,FreeWifi,Delivery,Reservations,HighchairsAvailable,WheelchairAccessible,DigitalPayments,AcceptsCreditCards","Asian,Chinese,Indian,Thai,Fusion,Lunch,Dinner,Drinks,VegetarianFriendly,VeganOptions",3188
Quiznos,49.28433,-123.11638,",best sandwich,excellent customer service,good type,great lunch dinner,great sub staff,great interaction,nice choice lunch,more money,more onion,better quality ingredient,enjoyed beef,recommdation perfect size,always good meal,ok soup,really wonderful place,good hearty sandwich,good place,friendly staff,good work,quick sandwich,",,"Fastfood,,",3364
Domino's Pizza,49.31422,-123.07894,",best pizza,great pizza,pizza top,gluten free pizza,good service,good price,great service,best thing,best deal,good selection,best part,good value size,banff great thing,large great deal,free option,cheap sure choice,amazing pizza,minute amazing thing,domino excellent value,great food,",,"Pizza,,",3571
Fatburger,49.287727,-123.11501,"burger,chickentenders,fastfood,waterfront,chips,flavor,great burger,better burger,groupon special burger,great food,great customer service,great place,best burger,greater vancouver area,greater vancouver,great deal staff,very friendly burger,many side diner,excellent service,cheese bacon deluxe,better selection pop,nice step,many option,more moist,free internet,cheap eats,","Takeout,Seating,WheelchairAccessible,AcceptsCreditCards","Canadian,Lunch,Dinner,Breakfast,",3626
De Dutch,49.29014,-123.11694,"pancakes,frenchtoast,peachmelba,ham,canadaplace,burrardinlet,latebreakfast,seawall,quickservice,stanleypark,pannekoeken,waterfront,seaplane,cruise,canadian,downtown,good breakfast service,best french toast,good place breakfast,good american breakfast,good food,good food choice,delicious breakfast pancake,good place,good service,beautiful breakfast place,great breakfast lunch,good value,sandwich good lunch,food excellent,friendly service,friendly location,great coffee,great thing,most restaurant,attentive service,","Reservations,OutdoorSeating,Seating,HighchairsAvailable,WheelchairAccessible,ServesAlcohol,FreeWifi,AcceptsCreditCards,TableService,Waterfront","Dutch,Breakfast,Lunch,Brunch,VegetarianFriendly,VeganOptions,GlutenFreeOptions",3690
Freshii,49.31251,-123.08216,",fresh healthy food,light fresh lunch,most discerning vegetarian,delicious portion,more thing,amazing takeout,wonderfully healthy ingredient,your special request,great quality ingredient,good sized portion,good food,very good choice,kind veggie,",,"Healthy,,",3846
McDonald's,49.310383,-123.08357,",good food,good food restaurant,good good location,best food price,good decent food,good service,good great location,best staff,nice food,great food,great fast food,best coffee,good seat staff,fine food restaurant,good price,good time,better food,good way,good stop,great clean place,",WheelchairAccessible,"Fastfood,,",4261
Pizza Garden,49.28016,-123.12092,"pepperoni,pie,importedfromitaly,delivery,flour,toppings,primo,cheese,order,neapolitan,meats,texture,patrons,crispy,love pizza,authentic neapolitan pizza,good crust,enjoy place spinach,friendly staff,slice great value,two love,good pizza place,best pizza,more pizza,best best option,great crust,great place,definitely great pizza,good variety,good value,enjoy slice,good evening fixservice,slice remarkable choice,most place,","Delivery,Takeout,WheelchairAccessible","Italian,Pizza,Fastfood,Lunch,Dinner,VegetarianFriendly",4469
Starbucks,49.28758,-123.11364,",good coffee,good coffee misto,great coffee,great coffee drink,excellent coffee,good service,good place,good time,great place,best frappucinos,good book,good representative globalization,familiar face starbucks,great job view,wonderful customer service,quick snack staff,sure location,great experience,great outdoor setting,s available starbucks,","Takeout,OutdoorSeating,Seating,WheelchairAccessible","Cafe,Breakfast,",4534
A&W Canada,49.286606,-123.118324,",,",,",,",5005
Freshslice Pizza,49.31174,-123.08027,",best pizza,quick service pizza,best veg pizza,great delivery pizza,quick bite pizza,kingsway good place,good origin,good suggestion,very clean pizza,friendly staff,quick lunch dinner,quick bite,nice clean environment,great topping,nice experience,available freshslice,fantastic perfect crust,good price,slice great place,quick slice,","Delivery,Takeout,ParkingAvailable,StreetParking,Freeoff-streetparking,Television,WheelchairAccessible,FreeWifi,AcceptsCreditCards,GiftCardsAvailable","Pizza,Lunch,Dinner,",5114
Denny's,49.280277,-123.1311,",good food,good friendly service,best service,good breakfast,great food,good breakfast staple,good coffee restaurant,best denny,great service,warm food,surprising went breakfast,good experience,great awesome breakfast,good value,good guest,friendly smiling service,clean service,able good conversation,most diet service,cool meal,","Seating,HighchairsAvailable,WheelchairAccessible,TableService,Takeout","American,Breakfast,Dinner,Lunch,VegetarianFriendly,GlutenFreeOptions",5222
Thai Express,49.283333,-123.11774,"thaifood,chickenpadthai,fastfood,prettyfood,dish,love stuff staff,quick lunch shopping,full meal,one best meal,two love,","Takeout,WheelchairAccessible,Seating","Fastfood,Asian,Thai,Lunch,Dinner,VegetarianFriendly",5310
Pizza Hut,49.291,-123.1341,",free reward pizza,minute good service,original manager,great order,best way,more customer,excellent service,more money course,nice gesture,great burger,awesome place,adequate topping,very pleasant experience,good pizza,great pizza,most pizza,better pizza home,good service,good professional service,good food,",,"Pizza,,",5540
Triple O's,49.279804,-123.11458,",best service,good eats,great burger,quick bite,huge menu variety,healthy salad,just top bun,good burger,good food,good fry,good quick eats,quick food,excellent burger,good value,good scrub,good alternative,best combination,burger fine,enough good stuff,wonderful little restaurant,","Takeout,Seating,WheelchairAccessible","Canadian,American,Fastfood,Lunch,Dinner,",5623
Mucho Burrito,49.2788,-123.12904,",burrito excellent,great food,lot good option,good experience,great lunch experience,delicious flavour staff,salsa good one,huge burrito,nice day,good service,quick lunch,amazing combo,those amazing burrito,best place,taco burrito fair,delicious food,good meal,huge filled burrito,good portion,good advice,","Takeout,Seating,WheelchairAccessible","Mexican,Lunch,Dinner,VegetarianFriendly",5771
Taco Del Mar,49.271626,-123.09494,",enjoy food,great place,great location,good food wrap,love place,very clean food,service excellent staff,quick meal,best food,good selection taco,quick lunch,more flavour price,good stuff,sauce top bean,you genuine attitude,best corporate lunch,nice touch,very glad company,",,"Mexican,Fastfood,Lunch,Dinner,",5828
Taco Time,49.28768,-123.11517,",clean price food,good deal,good service,ok store,light bulb,happy help,quick lunch taco,great place,great value,great taco salad,great service,best way,great tater,what great choice,able pop,very friendly restaurant,great food,friendly food,top rating food,taco nice,","Seating,WheelchairAccessible","Mexican,Fastfood,Lunch,",5880
Boston Pizza,49.31241,-123.08185,",good service food,good food restaurant,good comfort food,pizza great place,good service,great food,good great location,pizza delicious pizza,good restaurant,great pizza,best place,friendly staff food,best customer service,great selection food,food service excellent,nice boston pizza,good staff,nice time food,good time,great service,","Takeout,Seating,Television,Delivery,Reservations,WheelchairAccessible,TableService","Pizza,Canadian,American,Bar,Pub,Dinner,Lunch,Drinks,VegetarianFriendly",5983
KFC,49.26276,-123.08746,",good day,good work,easy parking,lucky day visit,more upset employee,good parking,great spicy sauce,quick meal,adequate ordered sandwich,full price,quick coffee bite,quick stop,very friendly staff,very good quality,fast great lunch,good service,good work staff,good value,town best price,good quality,",,"American,,",6118
Wendy's,49.28597,-123.12509,",good fast food,good food,good affordable burger,friendly service,delicious good experience,person good value,loving wendy,better recommend place,many year,many eatery,free meal,free apple pie,huge factory,too friendly staff,my favorite friend,good fast food,good food,great food,friendly food,clean bathroom food,",,"American,Fastfood,International,,",6385
Carl's Jr.,49.284534,-123.11784,"fries,fastfood,famousstar,crispy,combo,,","Takeout,Seating,WheelchairAccessible","American,Fastfood,Breakfast,Lunch,",6400
New York Fries,49.28276,-123.11871,",good fry,dang good,overall good experience,good only problem,good gravy,abby great,fabulous bc sunshine,amazing love poutine,lucky girl,just great place,hastily shoved top,most location chain,more franchise,very good service,",,"Fastfood,Lunch,Dinner,",6456
Burger King,49.28123,-123.120575,",good burger king,best burger king,best option,great new sandwich,quick easy meal,very good rating,originally ordered manager,most important food,free lunch,amazing my wife,poutine great,good service,good food quality,good burger,light food,good time,great fry service,good first visit,friendly atmosphere order,friendly staff member,",,"Canadian,Breakfast,Lunch,Dinner,",6595
Jugo Juice,49.284943,-123.12478,",liked smoothy,good property,","GiftCardsAvailable,WheelchairAccessible","Fastfood,Breakfast,Lunch,Dinner,",6690
Classic Pizza,49.28297,-123.11279,",,",,"Pizza,,",6714
Piccata's,49.270805,-123.1468,",,",,",,",6729
A&W,49.26338,-123.11443,",,",,"American,Fastfood,,",6844
Dairy Queen,49.28272,-123.118,",many menu item,top layer,best ice cream,good selection food,good good location,love ice cream,good made order,burger good luck,best hamburger,good p,friendly staff,time cool treat,unbelivable great banana,great menu item,quick service,nice meal downtown,important spot,satisfied banana,attractive contrast colour,best dq,",WheelchairAccessible,"Cafe,Fastfood,,",6918
Earls Restaurant,49.263912,-123.14126,",good food service,good food,good earl,good selection food,good service,great food,good food recommend,food great price,good service party,great food atmosphere,pleasant great food,earl great,great service,best restaurant,greatest smile food,many good restaurant,best meal,good serving staff,expectation great service,good quality meal,","Reservations,Seating,ServesAlcohol,FullBar,Television,HighchairsAvailable,TableService","Canadian,Bar,Lunch,Dinner,Brunch,VegetarianFriendly",7338
Blenz Coffee,49.27723,-123.12667,",independent good thing,","Seating,Takeout,WheelchairAccessible","Cafe,Breakfast,Lunch,Dinner,",7430
Marketplace on 3rd,49.28562,-123.12378,"brunch,steelhead,trufflepizza,tastingmenu,crispyrice,searedscallops,frenchtoast,cake,salad,sushi,marketbyjeangeorges,theshangrilahotel,chefalex,blacktruffle,excellentdinner,attentiveservice,finedining,exceptional food,more food,good size,great construction,nice meal,wonderful breakfast,your wonderful service,which interesting desert,","Reservations,OutdoorSeating,PrivateDining,Seating,ParkingAvailable,ValetParking,WheelchairAccessible,ServesAlcohol,FullBar,FreeWifi,AcceptsCreditCards,TableService","Canadian,International,Breakfast,Lunch,Dinner,Brunch,After-hours,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7580
Glowbal,49.28161,-123.11704,"brunch,steak,calamari,brusselsprouts,spaghetti,sablefish,donuts,salad,truffle,seafood,ourwaiter,greathappyhour,businesslunch,birthdaydinner,diningexperience,satatthebar,downtownvancouver,delicious food,best service,excellent food,wonderful course menu,wonderful meal,more dinner location,outstanding dinner,perfection amazing paella,rose sauce needle,wonderful meal frank,happy hour,great experience,exquisite char,beautiful atmosphere,crumble top,my full trust,my favorite,","Reservations,OutdoorSeating,Seating,ParkingAvailable,StreetParking,HighchairsAvailable,WheelchairAccessible,ServesAlcohol,FullBar,FreeWifi,PrivateDining,Television,AcceptsCreditCards,TableService,WineandBeer,GiftCardsAvailable","American,Bar,Seafood,Grill,Lunch,Dinner,Brunch,After-hours,Drinks,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7584
Rain Or Shine,49.26805,-123.148674,"wafflecone,icecream,scones,flavorcombos,gelato,saltedcaramel,interestingflavours,doublescoop,cambiestreet,takeaway,blueberry,balsamic,yummy,ubc,ingredients,love ice cream,nice place,wonderful waffle cone,delicious flavour,many many year,good job,great fresh ingredient,covid friendly service,","Takeout,OutdoorSeating,Seating,WheelchairAccessible","Canadian,,VegetarianFriendly",7585
Salmon n' Bannock Bistro,49.263462,-123.129814,"bannock,bison,salmon,wildrice,redsnapper,roe,mousse,sockeye,burger,bread,salad,potatoes,seafood,cakes,firstnations,gamesampler,indigenousfood,best food,fabulous food,world excellent place,best quality food,choice comfortable room,special birthday desert,much love,really authentic place,","WheelchairAccessible,ServesAlcohol,Takeout,Reservations,Seating,StreetParking,HighchairsAvailable,WineandBeer,AcceptsMastercard,AcceptsVisa,FreeWifi,AcceptsCreditCards,TableService","Canadian,NativeAmerican,Lunch,Dinner,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7586
Bacchus Restaurant & Lounge,49.28225,-123.12248,"brunch,rackoflamb,halibut,sablefish,bread,salad,chicken,fries,wedgewoodhotel,pianoplayer,ourwaiter,finedining,servicewasimpeccable,romanticdinner,specialoccasion,downtownvancouver,winelist,,","ParkingAvailable,ValetParking,HighchairsAvailable,WheelchairAccessible,ServesAlcohol,Reservations,PrivateDining,Seating,StreetParking,FullBar,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,DigitalPayments,FreeWifi,AcceptsCreditCards,TableService,LiveMusic","European,Canadian,Breakfast,Lunch,Dinner,Brunch,After-hours,Drinks,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7588
Purebread,49.28241,-123.1092,"brownie,cakes,bread,pastry,quiche,pie,sweettooth,functionjunction,bakedgoodness,sourcherry,greatbakery,veganoptions,whistler,loaf,buckwheat,savouries,decadent,wonderful loaf bread,great coffee,many great selection,more vegan option,friendly helpful staff,great treat,excellent espresso drink,","Takeout,Seating,WheelchairAccessible,FreeWifi,AcceptsCreditCards","Cafe,Canadian,Breakfast,Lunch,Brunch,VegetarianFriendly,VeganOptions",7589
Sai Woo,49.280422,-123.101006,"dumplings,chopsuey,shakingbeef,popcornchicken,confitduck,paella,springrolls,pannacotta,brusselsprouts,rice,prawns,asianfusion,""vancouverschinatown"",tantannoodles,amazingfood,servicewasimpeccable,greatrestaurant,unique sai woo,great experience,good food,great job,great return,great work,safe staff,beautifully service seamless,delicious canap,beautiful dining,beautiful piece,good group,most cocktail list,their amazing staff,fantastic spot,phenomenal night,more perfect day,more intimate visit,easy everyone,","Takeout,Reservations,Seating,StreetParking,HighchairsAvailable,WheelchairAccessible,ServesAlcohol,FullBar,AcceptsMastercard,AcceptsVisa,FreeWifi,PrivateDining,DigitalPayments,AcceptsCreditCards,GiftCardsAvailable","Chinese,Asian,Korean,Contemporary,Fusion,Dinner,After-hours,Drinks,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7601
Five Sails Restaurant,49.288414,-123.11281,"scallops,doversole,seabass,souffle,amusebouche,tastingmenu,duck,seafood,salad,steak,thepanpacifichotel,grandmarnier,vancouverharbor,windowtable,specialoccasion,finedining,canadaplace,great food,fantastic view,such wonderful food,wonderful anniversary dinner,lovely dinner,great presentation,fantastic renovation job,more training,my great friend,great deal someone,truly memorable meal,my amazing hubby,more creative option,sure covid something,","ValetParking,Reservations,PrivateDining,Seating,ParkingAvailable,StreetParking,WheelchairAccessible,ServesAlcohol,FullBar,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,AcceptsDiscover,AcceptsCreditCards,TableService,Waterfront","French,Fusion,Dinner,Drinks,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7602
Blue Water Cafe,49.276203,-123.1211,"sablefish,seafood,scallops,sablefish,sushirolls,arcticchar,sorbet,halibutspecial,freshoysters,steak,salad,bread,rawbar,winelist,ourwaiter,specialoccasion,greatrestaurant,good family,trio sorbet delicious,elegant dining room,amazing bar,which excellent dessert,","ParkingAvailable,ServesAlcohol,WheelchairAccessible,WineandBeer,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,AcceptsCreditCards,StreetParking,DigitalPayments,Familystyle,Non-smokingrestaurants,GiftCardsAvailable","Seafood,Sushi,Canadian,Dinner,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7603
Black + Blue,49.284725,-123.1225,"steak,buttercake,beefwellington,primerib,caesarsalad,bananasfoster,yorkshirepudding,brusselsprouts,lobstertail,maccheese,oysters,skewers,fries,salmon,rooftoppatio,tableside,ourwaiter,,","Reservations,OutdoorSeating,PrivateDining,Seating,ValetParking,WheelchairAccessible,ServesAlcohol,FullBar,FreeWifi,AcceptsCreditCards,TableService,StreetParking,WineandBeer","Steakhouse,WineBar,Canadian,Grill,Lunch,Dinner,After-hours,VegetarianFriendly,GlutenFreeOptions",7604
Thomas Haas,49.26394,-123.16335,",great coffee chocolate,best chocolate,best chocolate cake,line best chocolate,best hot chocolate,great chocolate,experience best chocolate,work best chocolate,fabulous chocolate coffee,amazing chocolate cake,amazing chocolate,best coffee,excellent chocolate,good delicious coffee,coffee good staff,fabulous chocolate,best place,fantastic chocolate,fine chocolate,sweet lunch chocolate,","Takeout,Seating,WheelchairAccessible,OutdoorSeating","Cafe,Breakfast,",7608
AnnaLena,49.27074,-123.146805,"mussels,friedchicken,bread,tastingmenu,trout,wagyu,icecream,steak,shavedfoiegras,shareplates,smallportions,diningexperience,specialoccasion,birthdaydinner,dish,presentation,kits,excellent tasting menu,enough good thing,bewildered enjoy food,best meal,good pinot,excellent wine selection,delicious wine,amazing time,incredible wine recommendation,amazing cocktail,exquisite service,annalena easy choice,more home,very good service,many way,easy walking distance,innovative fun,wonderful ambiance,important stuff,it nice bar,","Reservations,Seating,StreetParking,WheelchairAccessible,ServesAlcohol,FullBar,WineandBeer,AcceptsMastercard,AcceptsVisa,AcceptsAmericanExpress,AcceptsCreditCards,TableService","Contemporary,Canadian,Dinner,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7611
Bishop's,49.268208,-123.15474,"duck,oysters,coursetastingmenu,amusebouche,pannacotta,threecoursemeal,johnbishop,finedining,deathbychocolate,westcoastcuisine,diningexperience,winelist,wonderfulevening,romanticdinner,servicewasimpeccable,appetizers,plating,legendary bishop s,good restaurant,lovely ambiance bishop,great food,restaurant excellent rating,excellent tasting menu,delicious food,wonderful selection wine,fabulous restaurant,best thing,exquisite service,fine dining,interesting menu,memorable evening,sweet tasting fish,great selection,excellent cusine,their fine restaurant,many venue,many form,","Reservations,Seating,WheelchairAccessible,ServesAlcohol,FullBar,TableService","Canadian,Dinner,After-hours,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7613
Italia Bella Bar & Grill Restaurant,49.261646,-123.098335,"gnocchi,garliccheesebread,salmon,caesarsalad,crabcakes,potatoes,soups,seafood,uptownhotel,bestwesternuptown,ownerandchef,rosesauce,hiscustomers,greatplacetoeat,definitelyeathereagain,britishcolumbia,lastnight,,","Delivery,Takeout,Reservations,Seating,HighchairsAvailable,WheelchairAccessible,ServesAlcohol,FullBar,FreeWifi,TableService","Italian,European,Breakfast,Lunch,Dinner,Brunch,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7615
Peaked Pies,49.289585,-123.1385,"pies,mushypeas,baconandcheese,kangaroomeat,steak,pastry,vanillaslice,traditionalaussie,groundbeef,pieshop,denmanst,gingerbeer,stanleypark,fastservice,crust,toppings,pepper,best australian pie,great product,great atmosphere,instagram aida love,available dine,easy conversation,more option,","Takeout,Seating,Freeoff-streetparking,WheelchairAccessible,AcceptsMastercard,AcceptsVisa,ServesAlcohol","NewZealand,Beerrestaurants,Breakfast,Lunch,Dinner,Brunch,VegetarianFriendly,VeganOptions",7616
Nero waffles,49.290573,-123.13403,"belgianwaffles,icecream,prosciutto,liegewaffle,authenticbelgian,smallplace,littleholeinthewall,westend,toppings,dessert,yummy,van,latte,art good waffle,sweet waffle,u nice booth,best part,great texture aroma,strawberry vanilla original,excellent place,","Takeout,OutdoorSeating,Seating,AcceptsMastercard,AcceptsVisa,AcceptsDiscover,AcceptsCreditCards,TableService","Belgian,Cafe,Breakfast,Lunch,Brunch,VegetarianFriendly",7627
Kingyo,49.290554,-123.13701,"kobebeef,sashimi,cod,bentobox,lotusroot,tongue,pannacotta,greensalad,blacksesame,noodles,octopus,tapas,ramen,soup,japanesefood,hotstone,greatizakaya,great kobe beef,great kobe,kingyo great,great team severs,enjoyed prawn tempura,enjoyable table sashimi,tempura beautiful decor,genuine smile,love vegetarian bowl,","FreeWifi,Takeout,Reservations,Seating,WheelchairAccessible,ServesAlcohol,FullBar,WineandBeer,AcceptsCreditCards,TableService","Japanese,Asian,Lunch,Dinner,After-hours,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7629
Teahouse in Stanley Park,49.30117,-123.15727,"brunch,stuffedmushrooms,salmon,lemontart,fishandchips,sablefish,salad,rackoflamb,primerib,cake,eggsbenedict,steak,teahouse,fergusonpoint,seawall,ourwaiter,attentiveservice,restaurant fabulous experience,great food,john fantastic location,excellent food,service exceptional dine,outstanding parking,fabulous dinner,delicious charcuterie board,scenery best place,teahouse cool drink,memorable time,best seat,top notch staff,wonderful summer evening,spectacular sunset,your great service,very good food,always amazing atmosphere,our friendly server,our superb server,","Reservations,OutdoorSeating,PrivateDining,Seating,ParkingAvailable,HighchairsAvailable,WheelchairAccessible,ServesAlcohol,FullBar,AcceptsCreditCards,TableService,Waterfront","Seafood,Canadian,Lunch,Dinner,Brunch,After-hours,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7630
Jam Cafe YVR,49.280396,-123.109825,"brunch,pancakes,frenchtoast,greeneggsandham,veggiebowl,chorizo,chicken,bread,fries,worththewait,charliebowl,massiveportions,longwait,minutewait,breakfastplace,maplesyrup,visitingvancouver,good food,many good option,good thing,queue good atmosphere,excellent service,lovely place breakfast,full waffle,many choice,one best brunch,attentive cheer,we lucky people,","Takeout,Seating,HighchairsAvailable,ServesAlcohol,FreeWifi,AcceptsCreditCards,TableService","American,Cafe,Canadian,Breakfast,Lunch,Brunch,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7632
Ramen Danbo - Robson,49.287395,-123.12903,"ramen,noodles,chashu,porkslices,soup,turnover,worththewait,porkbased,fastservice,minutewait,smallplace,sidedishes,thickness,bowl,kaedama,spiciness,lard,,","Seating,WheelchairAccessible,AcceptsCreditCards,TableService","Japanese,Asian,Soups,Lunch,Dinner,VegetarianFriendly,VeganOptions",7633
Giardino Restaurant,49.277046,-123.13005,"pasta,vealchop,paccheri,babyromaine,cannoli,minestrone,whiteasparagus,bread,wedges,seabass,sablefish,prosciutto,sablefish,tuna,oysters,cake,italianoptions,special occasion,special dessert,rich delicious sauce,excellent food,beautiful little restaurant,delicious home,exceptional service,end perfect meal,many restaurant,good view,good nonino amaro,perfect care,our delicious dinner,great view,nothing special price,much love giardino,flavorful satisfying salad,very hot restaurant,acceptably delicious lunch,our wonderful server,","Reservations,OutdoorSeating,Seating,ParkingAvailable,StreetParking,ValetParking,WheelchairAccessible,ServesAlcohol,FullBar,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,DigitalPayments,AcceptsCreditCards,TableService,HighchairsAvailable","Italian,European,Tuscan,Central-Italian,Lunch,Dinner,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7634
Lee's Donuts,49.27218,-123.13521,"donuts,donutholes,fritters,mango,granvilleisland,honeydipped,donutshop,powderedsugar,granvillepublicmarket,timhortons,worththewait,glaze,cinnamon,yummy,bite,crispy,foodie,delicious donut,good variety item,huge line,better taste,great value,which good thing,","Takeout,ParkingAvailable,WheelchairAccessible",",,",7636
Miku,49.28741,-123.11296,"sushi,aburisalmon,calamari,tastingmenu,rice,fritters,salad,greenteaopera,redwaveroll,canadaplace,japanesecuisine,coalharbour,meltinyourmouth,satatthebar,specialoccasion,visitingvancouver,kaiseki,wonderful experience staff,good seascape,best sashimi,best tofu,seascape stunning view,excellent cleaning,great menu,top notch,really good service,special occasion,","Takeout,ServesAlcohol,FreeWifi,GiftCardsAvailable,Reservations,Seating,HighchairsAvailable,WheelchairAccessible,FullBar,WineandBeer,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,AcceptsDiscover,AcceptsCreditCards,TableService,Waterfront","Japanese,Seafood,Sushi,Asian,Healthy,Lunch,Dinner,After-hours,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7638
Fanny Bay Oyster Bar & Shellfish Market,49.278534,-123.11447,"oysters,crab,shellfish,scallopsandporkbelly,geoduck,freshseafood,oysterselection,trufflefries,chowder,caviar,salad,bread,duringhappyhour,buckashuck,satatthebar,loveseafood,amazingseafood,,","Takeout,Reservations,Seating,WheelchairAccessible,ServesAlcohol,FullBar,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,AcceptsCreditCards,TableService","Bar,Seafood,Canadian,Lunch,Dinner,GlutenFreeOptions",7639
Italian Kitchen,49.28262,-123.12356,"meatballs,zeppole,tiramisu,prosciutto,truffle,pizza,antipasti,salad,bread,salmon,steak,italianfood,albernistreet,downtownvancouver,anappetizer,greatdinner,satatthebar,good italian restaurant,great italian food,good food,best restaurant,good service,great service wine,great food,great service place,greatest service,good wine list,good wine selection,good place lunch,nice food,good dinner,great customer service,nice selection food,nice decore food,great wine list,friendly service,restaurant amazing staff,","PrivateDining,Seating,ParkingAvailable,Television,HighchairsAvailable,ServesAlcohol,FullBar,FreeWifi,Takeout,Reservations,OutdoorSeating,StreetParking,WheelchairAccessible,WineandBeer,AcceptsCreditCards","Italian,Mediterranean,European,Drinks,Lunch,Dinner,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7640
Miko Sushi,49.28741,-123.129036,"sushi,tempura,freshfish,tataki,robsonstreet,authenticjapanese,listelhotel,smallrestaurant,greentea,satatthebar,visitingvancouver,dynamite,good service,good sushi,good tip,tempura piece top,full frozen vegetable,favorite year family,","Takeout,Reservations,Seating,WheelchairAccessible,ServesAlcohol,FullBar,AcceptsCreditCards,TableService","Japanese,Sushi,Asian,Lunch,Dinner,After-hours,VegetarianFriendly,VeganOptions,GlutenFreeOptions",7642
